origin,destination,flows,pop.destination
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Worcester_Doherty,,59480
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Worcester_North,,37617
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Worcester_South,,37990
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",,2479,
Boston_Charlestown,Boston_Allston/Brighton,,75954
Boston_Charlestown,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",51,45238
Boston_Charlestown,Boston_Charlestown,7139,15195
Boston_Charlestown,Boston_Dorchester,,132393
Boston_Charlestown,Boston_East Boston,,41604
Boston_Charlestown,Boston_Fenway,,43708
Boston_Charlestown,Boston_Hyde Park,,36604
Boston_Charlestown,Boston_Jamaica Plain,,33881
Boston_Charlestown,Boston_Mattapan,,23974
Boston_Charlestown,Boston_Roslindale,,28003
Boston_Charlestown,Boston_Roxbury,,33389
Boston_Charlestown,Boston_South Boston,50,34837
Boston_Charlestown,Boston_South End,,25242
Boston_Charlestown,Boston_West Roxbury,,28753
Boston_Charlestown,Brockton_Ward 1,,20218
Boston_Charlestown,Brockton_Ward 6,,15208
Boston_Charlestown,Brockton_Ward 7,,16616
Boston_Charlestown,BRPC_Developing Suburbs,,46115
Boston_Charlestown,BRPC_Regional Urban Centers,,63046
Boston_Charlestown,Cambridge_All,,101355
Boston_Charlestown,CCC_Developing Suburbs,,21906
Boston_Charlestown,CCC_Maturing Suburbs,,201577
Boston_Charlestown,CCC_Rural Towns,,8267
Boston_Charlestown,Chelsea_Ward 3,,17797
Boston_Charlestown,Chelsea_Ward 4,,17283
Boston_Charlestown,CMRPC_Developing Suburbs,,308392
Boston_Charlestown,Everett_All,,38037
Boston_Charlestown,Framingham_All,,66910
Boston_Charlestown,FRCOG_Rural Towns,,32610
Boston_Charlestown,ICC_Inner Core,131,417536
Boston_Charlestown,ICC_Maturing Suburbs,,52140
Boston_Charlestown,Lowell_Centralville,,15808
Boston_Charlestown,Lynn_Ward 3,,22132
Boston_Charlestown,Lynn_Ward 5,,19986
Boston_Charlestown,MAGIC_Developing Suburbs,,45932
Boston_Charlestown,MAGIC_Maturing Suburbs,,115604
Boston_Charlestown,Metrowest_Developing Suburbs,,13801
Boston_Charlestown,Metrowest_Maturing Suburbs,,106807
Boston_Charlestown,Metrowest_Regional Urban Centers,,36255
Boston_Charlestown,MRPC_Developing Suburbs,,104376
Boston_Charlestown,MVC_Developing Suburbs,,14987
Boston_Charlestown,MVPC_Developing Suburbs,,110116
Boston_Charlestown,MVPC_Regional Urban Centers,,136397
Boston_Charlestown,Newton_Ward 2,,24821
Boston_Charlestown,Newton_Ward 3,,14603
Boston_Charlestown,Newton_Ward 5,,20214
Boston_Charlestown,Newton_Ward 7,,12829
Boston_Charlestown,NMCOG_Developing Suburbs,,74368
Boston_Charlestown,NMCOG_Maturing Suburbs,,101690
Boston_Charlestown,NSPC_Maturing Suburbs,67,161159
Boston_Charlestown,NSPC_Regional Urban Centers,,37258
Boston_Charlestown,NSTF_Developing Suburbs,,55889
Boston_Charlestown,NSTF_Maturing Suburbs,,63633
Boston_Charlestown,NSTF_Regional Urban Centers,,158671
Boston_Charlestown,OCPC_Developing Suburbs,,184584
Boston_Charlestown,PVPC_Maturing Suburbs,,15633
Boston_Charlestown,PVPC_Regional Urban Centers,,239962
Boston_Charlestown,Quincy_Houghs Neck,,13394
Boston_Charlestown,Quincy_North Quincy,,17172
Boston_Charlestown,Quincy_Quincy Center,,15681
Boston_Charlestown,Quincy_South Quincy,,27277
Boston_Charlestown,Quincy_Wollaston,,14501
Boston_Charlestown,Somerville_2143,,20785
Boston_Charlestown,Somerville_2144,,29483
Boston_Charlestown,Somerville_2145,,27210
Boston_Charlestown,Springfield_East Forest Park,,10618
Boston_Charlestown,Springfield_Pine Point,,19112
Boston_Charlestown,SRPEDD_Developing Suburbs,,272896
Boston_Charlestown,SRPEDD_Maturing Suburbs,,22414
Boston_Charlestown,SRPEDD_Regional Urban Centers,,116278
Boston_Charlestown,SSC_Developing Suburbs,,41968
Boston_Charlestown,SSC_Maturing Suburbs,,198636
Boston_Charlestown,SWAP_Developing Suburbs,,103784
Boston_Charlestown,SWAP_Regional Urban Centers,,26799
Boston_Charlestown,TRIC_Developing Suburbs,,44628
Boston_Charlestown,TRIC_Maturing Suburbs,,172876
Boston_Charlestown,TRIC_Regional Urban Centers,,28587
Boston_Charlestown,Worcester_Burncoat,,37561
Boston_Charlestown,,559,
Boston_Dorchester,Boston_Allston/Brighton,63,75954
Boston_Dorchester,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",53,45238
Boston_Dorchester,Boston_Charlestown,,15195
Boston_Dorchester,Boston_Dorchester,47473,132393
Boston_Dorchester,Boston_East Boston,,41604
Boston_Dorchester,Boston_Fenway,59,43708
Boston_Dorchester,Boston_Hyde Park,210,36604
Boston_Dorchester,Boston_Jamaica Plain,102,33881
Boston_Dorchester,Boston_Mattapan,230,23974
Boston_Dorchester,Boston_Roslindale,104,28003
Boston_Dorchester,Boston_Roxbury,299,33389
Boston_Dorchester,Boston_South Boston,99,34837
Boston_Dorchester,Boston_South End,111,25242
Boston_Dorchester,Boston_West Roxbury,59,28753
Boston_Dorchester,Brockton_Ward 1,,20218
Boston_Dorchester,Brockton_Ward 2,,12824
Boston_Dorchester,Brockton_Ward 4,,20792
Boston_Dorchester,Brockton_Ward 5,,13089
Boston_Dorchester,Brockton_Ward 6,,15208
Boston_Dorchester,Brockton_Ward 7,,16616
Boston_Dorchester,BRPC_Regional Urban Centers,,63046
Boston_Dorchester,Cambridge_All,64,101355
Boston_Dorchester,CCC_Developing Suburbs,,21906
Boston_Dorchester,CCC_Maturing Suburbs,,201577
Boston_Dorchester,CCC_Rural Towns,,8267
Boston_Dorchester,Chelsea_Ward 3,,17797
Boston_Dorchester,Chelsea_Ward 4,,17283
Boston_Dorchester,CMRPC_Developing Suburbs,,308392
Boston_Dorchester,CMRPC_Regional Urban Centers,,30538
Boston_Dorchester,Everett_All,,38037
Boston_Dorchester,Fall River_Sector 1,,12601
Boston_Dorchester,Fall River_Sector 2,,16515
Boston_Dorchester,Fall River_Sector 5,,11806
Boston_Dorchester,Fall River_Sector 7,,23223
Boston_Dorchester,Fall River_Sector 8,,12871
Boston_Dorchester,Fall River_Sector 9,,14922
Boston_Dorchester,Framingham_All,,66910
Boston_Dorchester,FRCOG_Developing Suburbs,,38925
Boston_Dorchester,FRCOG_Rural Towns,,32610
Boston_Dorchester,ICC_Inner Core,213,417536
Boston_Dorchester,ICC_Maturing Suburbs,80,52140
Boston_Dorchester,Lawrence_Ward A,,16297
Boston_Dorchester,Lawrence_Ward C,,14242
Boston_Dorchester,Lawrence_Ward D,,18315
Boston_Dorchester,Lawrence_Ward E,,12811
Boston_Dorchester,Lawrence_Ward F,,10378
Boston_Dorchester,Lowell_Acre,,12072
Boston_Dorchester,Lowell_Centralville,,15808
Boston_Dorchester,Lowell_Highlands,,17818
Boston_Dorchester,Lowell_Lower Belvidere,,33301
Boston_Dorchester,Lowell_Lower Highlands,,11813
Boston_Dorchester,Lowell_Pawtucketville,,14355
Boston_Dorchester,Lynn_Ward 1,,13903
Boston_Dorchester,Lynn_Ward 3,,22132
Boston_Dorchester,Lynn_Ward 4,,17440
Boston_Dorchester,Lynn_Ward 5,,19986
Boston_Dorchester,Lynn_Ward 7,,15589
Boston_Dorchester,MAGIC_Developing Suburbs,,45932
Boston_Dorchester,MAGIC_Maturing Suburbs,,115604
Boston_Dorchester,Metrowest_Developing Suburbs,,13801
Boston_Dorchester,Metrowest_Maturing Suburbs,,106807
Boston_Dorchester,Metrowest_Regional Urban Centers,,36255
Boston_Dorchester,MRPC_Developing Suburbs,,104376
Boston_Dorchester,MRPC_Regional Urban Centers,,110984
Boston_Dorchester,MRPC_Rural Towns,,19547
Boston_Dorchester,MVC_Developing Suburbs,,14987
Boston_Dorchester,MVPC_Developing Suburbs,,110116
Boston_Dorchester,MVPC_Regional Urban Centers,,136397
Boston_Dorchester,New Bedford_Neighborhood 1,,18383
Boston_Dorchester,New Bedford_Neighborhood 2,,19765
Boston_Dorchester,New Bedford_Neighborhood 3,,19180
Boston_Dorchester,New Bedford_Neighborhood 4,,16801
Boston_Dorchester,New Bedford_Neighborhood 5,,19639
Boston_Dorchester,Newton_Ward 2,,24821
Boston_Dorchester,Newton_Ward 3,,14603
Boston_Dorchester,Newton_Ward 5,,20214
Boston_Dorchester,Newton_Ward 7,,12829
Boston_Dorchester,Newton_Ward 8,,11362
Boston_Dorchester,NMCOG_Developing Suburbs,,74368
Boston_Dorchester,NMCOG_Maturing Suburbs,,101690
Boston_Dorchester,NSPC_Maturing Suburbs,,161159
Boston_Dorchester,NSPC_Regional Urban Centers,,37258
Boston_Dorchester,NSTF_Developing Suburbs,,55889
Boston_Dorchester,NSTF_Maturing Suburbs,,63633
Boston_Dorchester,NSTF_Regional Urban Centers,,158671
Boston_Dorchester,OCPC_Developing Suburbs,94,184584
Boston_Dorchester,PVPC_Developing Suburbs,,173566
Boston_Dorchester,PVPC_Regional Urban Centers,,239962
Boston_Dorchester,PVPC_Rural Towns,,27236
Boston_Dorchester,Quincy_Houghs Neck,,13394
Boston_Dorchester,Quincy_North Quincy,63,17172
Boston_Dorchester,Quincy_Quincy Center,89,15681
Boston_Dorchester,Quincy_South Quincy,133,27277
Boston_Dorchester,Quincy_Wollaston,,14501
Boston_Dorchester,Somerville_2143,,20785
Boston_Dorchester,Somerville_2144,,29483
Boston_Dorchester,Somerville_2145,,27210
Boston_Dorchester,Springfield_East Forest Park,,10618
Boston_Dorchester,Springfield_Forest Park,,24733
Boston_Dorchester,Springfield_Indian Orchard,,11428
Boston_Dorchester,Springfield_McKnight,,28486
Boston_Dorchester,Springfield_Pine Point,,19112
Boston_Dorchester,Springfield_South End,,16949
Boston_Dorchester,SRPEDD_Developing Suburbs,,272896
Boston_Dorchester,SRPEDD_Maturing Suburbs,,22414
Boston_Dorchester,SRPEDD_Regional Urban Centers,,116278
Boston_Dorchester,SSC_Developing Suburbs,,41968
Boston_Dorchester,SSC_Maturing Suburbs,268,198636
Boston_Dorchester,SWAP_Developing Suburbs,,103784
Boston_Dorchester,SWAP_Regional Urban Centers,,26799
Boston_Dorchester,TRIC_Developing Suburbs,,44628
Boston_Dorchester,TRIC_Maturing Suburbs,247,172876
Boston_Dorchester,TRIC_Regional Urban Centers,,28587
Boston_Dorchester,Worcester_Burncoat,,37561
Boston_Dorchester,Worcester_Doherty,,59480
Boston_Dorchester,Worcester_North,,37617
Boston_Dorchester,Worcester_South,,37990
Boston_Dorchester,,2937,
Boston_East Boston,Boston_Allston/Brighton,,75954
Boston_East Boston,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",,45238
Boston_East Boston,Boston_Charlestown,,15195
Boston_East Boston,Boston_Dorchester,,132393
Boston_East Boston,Boston_East Boston,13784,41604
Boston_East Boston,Boston_Fenway,,43708
Boston_East Boston,Boston_Hyde Park,,36604
Boston_East Boston,Boston_Jamaica Plain,,33881
Boston_East Boston,Boston_Mattapan,,23974
Boston_East Boston,Boston_Roslindale,,28003
Boston_East Boston,Boston_Roxbury,,33389
Boston_East Boston,Boston_South Boston,,34837
Boston_East Boston,Boston_South End,,25242
Boston_East Boston,Boston_West Roxbury,,28753
Boston_East Boston,Brockton_Ward 4,,20792
Boston_East Boston,Brockton_Ward 5,,13089
Boston_East Boston,Brockton_Ward 6,,15208
Boston_East Boston,Brockton_Ward 7,,16616
Boston_East Boston,BRPC_Rural Towns,,25792
Boston_East Boston,Cambridge_All,,101355
Boston_East Boston,CCC_Maturing Suburbs,,201577
Boston_East Boston,CCC_Rural Towns,,8267
Boston_East Boston,Chelsea_Ward 3,,17797
Boston_East Boston,Chelsea_Ward 4,,17283
Boston_East Boston,CMRPC_Developing Suburbs,,308392
Boston_East Boston,CMRPC_Regional Urban Centers,,30538
Boston_East Boston,Everett_All,52,38037
Boston_East Boston,Fall River_Sector 2,,16515
