"","origin","destination","flows","population"
"446","New Bedford Neighborhood 3","New Bedford Neighborhood 4",90,16801
"447","New Bedford Neighborhood 3","New Bedford Neighborhood 5",70,19639
"448","New Bedford Neighborhood 3","SRPEDD Developing Suburbs",166,272896
"449","New Bedford Neighborhood 4","New Bedford Neighborhood 1",59,18383
"450","New Bedford Neighborhood 4","New Bedford Neighborhood 2",52,19765
"451","New Bedford Neighborhood 4","New Bedford Neighborhood 3",93,19180
"452","New Bedford Neighborhood 4","New Bedford Neighborhood 5",87,19639
"453","New Bedford Neighborhood 4","SRPEDD Developing Suburbs",160,272896
"454","New Bedford Neighborhood 5","New Bedford Neighborhood 2",84,19765
"455","New Bedford Neighborhood 5","New Bedford Neighborhood 3",75,19180
"456","New Bedford Neighborhood 5","New Bedford Neighborhood 4",100,16801
"457","New Bedford Neighborhood 5","SRPEDD Developing Suburbs",150,272896
"458","Newton Ward 2","Boston Allston/Brighton",52,75954
"459","Newton Ward 2","ICC Inner Core",243,417536
"460","Newton Ward 2","Metrowest Maturing Suburbs",84,106807
"461","Newton Ward 2","Newton Ward 3",65,14603
"462","Newton Ward 2","Newton Ward 5",67,20214
