"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"182",182,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MAGIC_Developing Suburbs",NA,NA,NA,-66.43918546371,-18.7160986646738
"183",183,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MAGIC_Maturing Suburbs",NA,NA,NA,-23.8417454700399,107.353575409345
"184",184,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Metrowest_Developing Suburbs",NA,NA,NA,-61.897445122865,-0.523594373926217
"185",185,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Metrowest_Maturing Suburbs",144,171,116,93.401777904796,347.436963937251
"186",186,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Metrowest_Regional Urban Centers",NA,NA,NA,-73.701620089953,-46.7904581842303
"187",187,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MRPC_Developing Suburbs",NA,NA,NA,-93.5433517303735,-81.7581829154507
"188",188,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MRPC_Regional Urban Centers",NA,NA,NA,-94.5856769320975,-82.4801185056617
"189",189,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MRPC_Rural Towns",0,0,0,-99.9999066549909,-99.9999197948294
"190",190,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MVC_Developing Suburbs",NA,NA,NA,-6.43648862871319,536.030003475742
"191",191,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MVPC_Developing Suburbs",NA,NA,NA,-26.7876256263911,90.7022604826073
"192",192,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","MVPC_Regional Urban Centers",NA,NA,NA,-77.3565080909703,-32.883089596076
"193",193,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","New Bedford_Neighborhood 1",0,0,0,-99.9999038404145,-99.9999363306936
"194",194,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","New Bedford_Neighborhood 2",0,0,0,-99.9998852362222,-99.9999267000404
"195",195,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","New Bedford_Neighborhood 3",0,0,0,-99.9998894248976,-99.9999268158636
"196",196,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","New Bedford_Neighborhood 4",0,0,0,-99.9998815324981,-99.9999270210613
"197",197,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","New Bedford_Neighborhood 5",NA,NA,NA,-74.6084544628711,-44.6342050483284
"198",198,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Newton_Ward 2",NA,NA,NA,104.70065379021,199.907332893878
"199",199,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Newton_Ward 3",NA,NA,NA,230.886363778415,460.493274792491
"200",200,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Newton_Ward 5",NA,NA,NA,161.274749559156,299.141157287126
"201",201,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Newton_Ward 7",NA,NA,NA,332.087621292585,756.037377279387
"202",202,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Newton_Ward 8",NA,NA,NA,159.070173209367,396.845598559611
"203",203,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NMCOG_Developing Suburbs",NA,NA,NA,-91.4317587605625,-74.9133771679865
"204",204,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NMCOG_Maturing Suburbs",NA,NA,NA,-83.1053195769331,-52.1628933417606
"205",205,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NSPC_Maturing Suburbs",115,145,89,-3.9186566781206,138.256324323068
"206",206,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NSPC_Regional Urban Centers",NA,NA,NA,-67.5456972355291,-37.5918326591422
"207",207,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NSTF_Developing Suburbs",NA,NA,NA,18.9955757452436,198.263409334274
"208",208,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NSTF_Maturing Suburbs",NA,NA,NA,9.18690824727588,164.287866719179
"209",209,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","NSTF_Regional Urban Centers",83,101,61,-26.9721074453834,120.005023798348
"210",210,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","OCPC_Developing Suburbs",NA,NA,NA,-68.0501303642171,-16.1079613971867
"211",211,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","PVPC_Developing Suburbs",NA,NA,NA,-93.7189859743003,-77.0660536128958
"212",212,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","PVPC_Maturing Suburbs",NA,NA,NA,-71.0955255194283,4.6934079704329
"213",213,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","PVPC_Regional Urban Centers",NA,NA,NA,-94.7131555733991,-78.7575744166523
"214",214,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","PVPC_Rural Towns",NA,NA,NA,-85.1061543738551,-57.8348051639883
"215",215,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Quincy_Houghs Neck",NA,NA,NA,9.58809210414233,79.0399114022046
"216",216,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Quincy_North Quincy",NA,NA,NA,205.04348290234,369.01705287404
